Awards,Credits,Job,Name,Noms,Wins
3 win & 2 nomination,184.0,Actor,Casper Van Dien,2,3
"nominated 1 primetime emmy, another 9 win & 19 nomination",124.0,Actress,"Molly Parker
(I)",20,9
26 win & 6 nomination,213.0,Actor,Til Schweiger,6,26
8 win & 15 nomination,135.0,Actor,Freddie Prinze Jr.,15,8
"nominated 2 golden globes, another 9 win & 3 nomination",226.0,Actor,Steven Bauer,5,9
"nominated 1 oscar, another 29 win & 20 nomination",132.0,Actor,Thomas Haden Church,21,29
"nominated 1 oscar, another 4 win & 13 nomination",87.0,Actress,Lena Olin,14,4
9 win & 12 nomination,83.0,Actor,Jérémie Renier,12,9
"nominated 1 oscar, another 15 win & 35 nomination",125.0,Actress,"Rachel Griffiths
(I)",36,15
"won 1 golden globe, another 5 win & 32 nomination",138.0,Actor,Tom Hiddleston,32,6
"nominated 1 golden globe, another 7 win & 37 nomination",106.0,Actor,Armie Hammer,38,7
2 win & 9 nomination,73.0,Actor,Scott Speedman,9,2
"nominated 2 golden globes, another 18 win & 52 nomination",211.0,Actress,"Kerry Washington
(I)",54,18
"won 1 golden globe, another 7 win & 23 nomination",169.0,Actress,Mia Farrow,23,8
6 win & 9 nomination,103.0,Actress,Dominique Swain,9,6
5 nomination,67.0,Actress,Natascha McElhone,5,0
"nominated 1 golden globe, another 38 win & 50 nomination",284.0,Actor,Andy Serkis,51,38
34 win & 33 nomination,181.0,Actor,Ricardo Darín,33,34
"won 1 golden globe, another 26 win & 79 nomination",363.0,Actress,Amy Poehler,79,27
1 win & 6 nomination,114.0,Actress,Kristy Swanson,6,1
"won 1 oscar, another 14 win & 22 nomination",417.0,Actor,Louis Gossett Jr.,22,15
"nominated 1 primetime emmy, another 6 win & 8 nomination",84.0,Actor,Stephen Dillane,9,6
7 win & 8 nomination,150.0,Actor,"Eduardo Noriega
(II)",8,7
2 win & 5 nomination,97.0,Actress,Olga Kurylenko,5,2
"won 3 golden globes, another 24 win & 62 nomination",394.0,Producer,Kelsey Grammer,62,27
3 win & 2 nomination,62.0,Actress,Imogen Poots,2,3
"nominated 1 golden globe, another 5 win & 23 nomination",245.0,Actor,"Hector Elizondo
(I)",24,5
65 win & 58 nomination,153.0,Actress,Valeria Golino,58,65
4 win & 14 nomination,138.0,Actress,Lauren Holly,14,4
2 win & 4 nomination,141.0,Actor,Ioan Gruffudd,4,2
"nominated 1 primetime emmy, another 15 win & 30 nomination",252.0,Actress,"Lucy Liu
(I)",31,15
7 win & 4 nomination,70.0,Actress,"Kelly Reilly
(I)",4,7
"won 2 primetime emmys, another 20 win & 40 nomination",256.0,Actor,"Eugene Levy
(I)",40,22
2 win & 2 nomination,64.0,Actor,"Stuart Townsend
(I)",2,2
"nominated 1 oscar, another 8 win & 19 nomination",252.0,Actor,Rip Torn,20,8
7 win & 3 nomination,286.0,Actor,"John Savage
(I)",3,7
"nominated 1 golden globe, another 4 win & 8 nomination",94.0,Actress,"Melissa George
(I)",9,4
"nominated 4 primetime emmys, another 2 win & 12 nomination",177.0,Actor,Damon Wayans,16,2
9 win & 9 nomination,109.0,Actor,Daniel Giménez Cacho,9,9
none,257.0,Actor,"Christopher McDonald
(I)",0,0
2 win & 9 nomination,44.0,Actor,Rory Culkin,9,2
11 win & 20 nomination,108.0,Actress,Sanaa Lathan,20,11
1 win & 5 nomination,91.0,Actress,Alexandra Daddario,5,1
"won 1 primetime emmy, another 8 win & 16 nomination",73.0,Actress,Alexis Bledel,16,9
27 win & 15 nomination,177.0,Actor,Bruno Ganz,15,27
"nominated 1 oscar, another 26 win & 71 nomination",175.0,Actress,Melissa McCarthy,72,26
"nominated 1 primetime emmy, another 1 win & 14 nomination",83.0,Actor,Hugh Dancy,15,1
3 win & 4 nomination,168.0,Actor,Dane Cook,4,3
"won 1 golden globe, another 8 win & 25 nomination",240.0,Actress,Kim Cattrall,25,9
3 win & 7 nomination,180.0,Actress,Tia Carrere,7,3
1 win & 3 nomination,94.0,Actress,Scout Taylor-Compton,3,1
25 win & 27 nomination,293.0,Actress,Victoria Abril,27,25
"nominated 1 oscar, another 18 win & 80 nomination",125.0,Actor,"Andrew Garfield
(I)",81,18
5 nomination,70.0,Actress,Camilla Belle,5,0
6 win & 12 nomination,106.0,Actress,Clea DuVall,12,6
1 win & 2 nomination,46.0,Actress,Olivia Thirlby,2,1
3 win & 5 nomination,172.0,Actor,"Peter Gallagher
(I)",5,3
"nominated 2 golden globes, another 9 win & 6 nomination",161.0,Actor,"Sam Elliott
(I)",8,9
5 win & 7 nomination,117.0,Actor,"Michael Nyqvist
(1960–2017)",7,5
"nominated 2 primetime emmys, another 4 win & 7 nomination",164.0,Actor,Milo Ventimiglia,9,4
7 win & 14 nomination,46.0,Actor,Tye Sheridan,14,7
"nominated 1 golden globe, another 8 win & 20 nomination",147.0,Actress,Emmy Rossum,21,8
4 win & 7 nomination,126.0,Actor,"Ian Hart
(I)",7,4
"nominated 1 oscar, another 31 win & 102 nomination",225.0,Actor,Benedict Cumberbatch,103,31
6 nomination,107.0,Actress,Sheryl Lee,6,0
"won 1 oscar, another 23 win & 35 nomination",277.0,Actress,Faye Dunaway,35,24
16 win & 13 nomination,123.0,Actor,Ulrich Thomsen,13,16
"nominated 3 primetime emmys, another 6 win & 21 nomination",176.0,Actor,John Krasinski,24,6
none,121.0,Actor,"Matt McCoy
(I)",0,0
"won 2 primetime emmys, another 6 win & 27 nomination",421.0,Actor,"Seth Green
(I)",27,8
"nominated 4 golden globes, another 5 win & 7 nomination",172.0,Actor,Armand Assante,11,5
"nominated 1 oscar, another 7 win & 24 nomination",288.0,Actor,"James Cromwell
(I)",25,7
2 win & 2 nomination,70.0,Actor,Kyle Gallner,2,2
1 win & 4 nomination,140.0,Actress,"Elizabeth Hurley
(I)",4,1
4 win & 6 nomination,92.0,Actress,Sarah Gadon,6,4
2 win & 7 nomination,109.0,Actress,Brigitte Lin,7,2
"nominated 1 primetime emmy, another 2 win & 7 nomination",203.0,Actor,"Gary Cole
(I)",8,2
2 win & 5 nomination,55.0,Actor,Dane DeHaan,5,2
2 win & 4 nomination,98.0,Actor,Jimmy Sheirgill,4,2
18 win & 12 nomination,74.0,Actress,Andrea Riseborough,12,18
7 win & 13 nomination,71.0,Actor,"Derek Luke
(I)",13,7
7 win & 21 nomination,115.0,Actress,"Megan Fox
(I)",21,7
13 win & 33 nomination,141.0,Actor,Tony Ka Fai Leung,33,13
2 win & 2 nomination,150.0,Actor,Tchéky Karyo,2,2
none,160.0,Actress,Monique Parent,0,0
7 win & 7 nomination,169.0,Actor,Mark Duplass,7,7
26 win & 3 nomination,437.0,Actor,Mammootty,3,26
"nominated 1 primetime emmy, another 43 win & 30 nomination",116.0,Actor,Peter Mullan,31,43
21 win & 15 nomination,91.0,Actress,Carice van Houten,15,21
50 win & 39 nomination,258.0,Actor,Takeshi Kitano,39,50
"nominated 1 golden globe, another 2 win & 15 nomination",145.0,Actor,Oliver Platt,16,2
2 win & 7 nomination,117.0,Actress,"Amanda Peet
(I)",7,2
22 win & 38 nomination,248.0,Actress,Maribel Verdú,38,22
"nominated 1 oscar, another 5 win & 5 nomination",171.0,Actor,Danny Aiello,6,5
"nominated 1 primetime emmy, another 6 win & 10 nomination",265.0,Producer,"Jon Favreau
(I)",11,6
11 win & 16 nomination,167.0,Soundtrack,Jason Schwartzman,16,11
"nominated 5 primetime emmys, another 8 win & 24 nomination",241.0,Actor,Will Arnett,29,8
2 nomination,95.0,Actor,Frank Grillo,2,0
"nominated 2 primetime emmys, another 3 win & 12 nomination",339.0,Actress,"Janeane Garofalo
(I)",14,3
6 win & 5 nomination,308.0,Actor,"Corey Feldman
(I)",5,6
"nominated 1 golden globe, another 2 win & 21 nomination",158.0,Actor,Yasiin Bey,22,2
"nominated 1 primetime emmy, another 1 win & 6 nomination",111.0,Actor,Bokeem Woodbine,7,1
11 win & 8 nomination,305.0,Actor,"Bruce Campbell
(I)",8,11
"nominated 1 primetime emmy, another 2 win & 4 nomination",117.0,Actress,"Kate Mara
(I)",5,2
none,69.0,Actress,Joan Severance,0,0
"nominated 1 oscar, another 1 win & 7 nomination",157.0,Actor,"Peter Weller
(I)",8,1
9 win & 14 nomination,82.0,Actor,Joseph Vijay,14,9
7 win & 7 nomination,226.0,Actress,Alyssa Milano,7,7
"nominated 1 oscar, another 20 win & 22 nomination",210.0,Actor,Ian Holm,23,20
9 win & 15 nomination,300.0,Actor,Cedric the Entertainer,15,9
1 win & 9 nomination,120.0,Actress,Emmanuelle Chriqui,9,1
"nominated 1 oscar, another 3 win & 3 nomination",153.0,Actress,"Anne Archer
(I)",4,3
none,186.0,Actress,"Mayumi Tanaka
(I)",0,0
3 win & 21 nomination,408.0,Soundtrack,50 Cent,21,3
2 win & 1 nomination,135.0,Actor,"Richard Norton
(I)",1,2
4 win & 5 nomination,110.0,Actress,"Erika Christensen
(I)",5,4
3 win & 4 nomination,151.0,Actor,Jeremy Sisto,4,3
none,111.0,Actor,"Marc Singer
(I)",0,0
2 win & 8 nomination,69.0,Actress,Gretchen Mol,8,2
"won 1 oscar, another 57 win & 42 nomination",149.0,Actor,Roberto Benigni,42,58
"nominated 1 golden globe, another 44 win & 50 nomination",82.0,Actress,Ziyi Zhang,51,44
"won 1 oscar, another 83 win & 109 nomination",221.0,Actress,"Viola Davis
(I)",109,84
none,101.0,Actress,Cynthia Rothrock,0,0
"won 1 golden globe, another 4 win & 24 nomination",225.0,Actor,Jeremy Piven,24,5
1 win,162.0,Actor,Cary-Hiroyuki Tagawa,0,1
1 nomination,107.0,Actor,Aditya Pancholi,1,0
"won 1 oscar, another 59 win & 53 nomination",152.0,Actress,Brie Larson,53,60
1 nomination,70.0,Actor,"Ray Stevenson
(I)",1,0
"won 1 primetime emmy, another 4 win & 2 nomination",361.0,Actor,Peter Coyote,2,5
none,180.0,Actor,"Brion James
(I)
(1945–1999)",0,0
"nominated 1 oscar, another 15 win & 35 nomination",208.0,Actress,Stockard Channing,36,15
4 win & 10 nomination,122.0,Actress,Isla Fisher,10,4
"nominated 1 golden globe, another 4 win & 5 nomination",97.0,Actress,Joey Lauren Adams,6,4
8 win & 1 nomination,176.0,Actor,Chuck Norris,1,8
none,428.0,Actor,Gulshan Grover,0,0
none,69.0,Actor,Deepak Tijori,0,0
"nominated 1 golden globe, another 5 win & 15 nomination",118.0,Actress,Amber Tamblyn,16,5
2 win & 3 nomination,114.0,Actor,Dan Fogler,3,2
14 win & 9 nomination,39.0,Actor,Kyung-gu Sol,9,14
2 win & 6 nomination,166.0,Actor,Charles Berling,6,2
"nominated 1 golden globe, another 1 win & 7 nomination",62.0,Actress,Monica Potter,8,1
"won 2 oscars, another 82 win & 40 nomination",204.0,Actor,Christoph Waltz,40,84
"won 1 golden globe, another 5 win & 32 nomination",326.0,Actor,Andy Samberg,32,6
4 win & 9 nomination,104.0,Actor,Shawn Ashmore,9,4
1 win,78.0,Actor,"Scott Adkins
(II)",0,1
3 win & 2 nomination,56.0,Actress,Agnes Bruckner,2,3
"won 1 golden globe, another 11 win & 14 nomination",124.0,Actor,Alexander Skarsgård,14,12
1 win & 2 nomination,124.0,Actor,Peter Facinelli,2,1
"nominated 1 primetime emmy, another 5 win & 30 nomination",889.0,Actor,Snoop Dogg,31,5
4 win,306.0,Actor,Kane Hodder,0,4
none,118.0,Actor,Andrew Divoff,0,0
"won 1 golden globe, another 5 win & 15 nomination",183.0,Actor,Kyle MacLachlan,15,6
1 win & 5 nomination,75.0,Actor,Ryan Kwanten,5,1
"nominated 1 oscar, another 13 win & 7 nomination",295.0,Actress,"Karen Black
(I)
(1939–2013)",8,13
6 win & 10 nomination,108.0,Actor,Garret Dillahunt,10,6
13 nomination,237.0,Writer,Johnny Knoxville,13,0
"nominated 1 golden globe, another 1 nomination",149.0,Actress,Sherilyn Fenn,2,0
4 win & 18 nomination,96.0,Actress,Mary Elizabeth Winstead,18,4
"nominated 2 primetime emmys, another 10 win & 15 nomination",235.0,Actor,"Charles Dance
(I)",17,10
5 win & 11 nomination,99.0,Actor,Domhnall Gleeson,11,5
3 win & 4 nomination,129.0,Actress,Alicia Witt,4,3
7 win & 3 nomination,82.0,Actress,"María Valverde
(II)",3,7
"nominated 1 golden globe, another 11 win & 30 nomination",131.0,Actor,"Ben Mendelsohn
(I)",31,11
"nominated 2 oscars, another 48 win & 91 nomination",100.0,Actress,"Sally Hawkins
(I)",93,48
21 win & 9 nomination,173.0,Actress,Shabana Azmi,9,21
3 win & 14 nomination,85.0,Actor,"Gregory Smith
(I)",14,3
9 win & 12 nomination,73.0,Actor,Mario Casas,12,9
38 win & 28 nomination,222.0,Actor,Luis Tosar,28,38
"nominated 1 bafta film award, another 3 win & 3 nomination",108.0,Actress,Irène Jacob,4,3
8 win & 13 nomination,137.0,Actor,Vincent Lindon,13,8
14 win & 10 nomination,137.0,Actor,Tadanobu Asano,10,14
4 win & 7 nomination,90.0,Actor,"Mark Webber
(I)",7,4
"won 1 primetime emmy, another 3 win & 9 nomination",69.0,Actor,"Jeremy Davies
(I)",9,4
21 win & 19 nomination,569.0,Actor,"Mark Hamill
(I)",19,21
"won 1 golden globe, another 2 win & 15 nomination",109.0,Actress,Maura Tierney,15,3
"won 1 golden globe, another 5 win & 36 nomination",190.0,Actress,Kirstie Alley,36,6
"nominated 1 primetime emmy, another 1 nomination",209.0,Actor,"John Heard
(I)
(1946–2017)",2,0
1 win & 5 nomination,37.0,Actress,Mahima Chaudhry,5,1
12 win & 7 nomination,171.0,Actress,Fanny Ardant,7,12
nominated 1 primetime emmy,157.0,Actor,Judge Reinhold,1,0
6 win & 3 nomination,84.0,Actress,Mary Stuart Masterson,3,6
2 win & 9 nomination,338.0,Actress,"Pamela Anderson
(I)",9,2
"nominated 1 golden globe, another 9 win & 16 nomination",221.0,Actor,Dennis Haysbert,17,9
4 win & 6 nomination,73.0,Actor,Garrett Hedlund,6,4
"nominated 1 golden globe, another 16 win & 26 nomination",110.0,Actress,Thora Birch,27,16
"nominated 1 oscar, another 17 win & 59 nomination",171.0,Actor,"John Hawkes
(I)",60,17
2 win & 10 nomination,96.0,Actress,Elisha Cuthbert,10,2
1 nomination,126.0,Actor,"Scott Glenn
(I)",1,0
11 win & 8 nomination,129.0,Actor,Moritz Bleibtreu,8,11
none,44.0,Actor,"Matthew Davis
(I)",0,0
"nominated 2 oscars, another 31 win & 23 nomination",176.0,Actress,Gena Rowlands,25,31
3 nomination,140.0,Actor,"Daniel Stern
(I)",3,0
4 win & 7 nomination,65.0,Actor,"Nat Wolff
(I)",7,4
1 win & 1 nomination,25.0,Actress,Twinkle Khanna,1,1
none,56.0,Actress,"Jennifer Rubin
(I)",0,0
7 win & 10 nomination,30.0,Actor,"Sam Riley
(II)",10,7
"nominated 3 golden globes, another 14 win & 6 nomination",134.0,Actress,"Linda Hamilton
(I)",9,14
5 nomination,189.0,Actress,Patsy Kensit,5,0
"won 2 golden globes, another 21 win & 55 nomination",166.0,Actress,"Elisabeth Moss
(I)",55,23
4 win & 18 nomination,93.0,Actor,"Jacky Cheung
(I)",18,4
"won 2 golden globes, another 6 win & 11 nomination",267.0,Actor,James Brolin,11,8
"nominated 3 primetime emmys, another 14 win & 28 nomination",489.0,Actor,LL Cool J,31,14
5 nomination,65.0,Actor,"Ben Barnes
(I)",5,0
4 win & 12 nomination,162.0,Actress,Alexa PenaVega,12,4
40 win & 44 nomination,337.0,Actress,Selena Gomez,44,40
2 nomination,115.0,Actor,"Will Patton
(I)",2,0
"won 3 golden globes, another 18 win & 55 nomination",305.0,Actor,Hugh Laurie,55,21
"nominated 2 golden globes, another 34 win & 66 nomination",136.0,Actress,Shailene Woodley,68,34
3 win & 4 nomination,101.0,Actress,Rebecca De Mornay,4,3
2 win & 15 nomination,238.0,Producer,Tyrese Gibson,15,2
2 win & 2 nomination,154.0,Actor,"Nick Frost
(I)",2,2
"nominated 2 oscars, another 9 win & 28 nomination",95.0,Actress,Janet McTeer,30,9
4 win & 14 nomination,88.0,Actor,"Dan Stevens
(IV)",14,4
4 win & 8 nomination,149.0,Actor,"Isaiah Washington
(I)",8,4
14 win & 1 nomination,132.0,Actor,D.B. Sweeney,1,14
"won 2 primetime emmys, another 2 win & 12 nomination",167.0,Actor,"John Candy
(1950–1994)",12,4
4 win & 8 nomination,142.0,Actress,Leighton Meester,8,4
"won 3 golden globes, another 9 win & 50 nomination",330.0,Actor,Ted Danson,50,12
16 win & 30 nomination,67.0,Actress,Léa Seydoux,30,16
2 nomination,199.0,Actor,Christian Clavier,2,0
"won 1 golden globe, another 18 win & 23 nomination",283.0,Actor,Tom Selleck,23,19
3 win & 6 nomination,40.0,Actor,Alex Pettyfer,6,3
"nominated 1 golden globe, another 9 win & 10 nomination",149.0,Actor,"Bryan Brown
(I)",11,9
2 win & 1 nomination,106.0,Actor,Daryl Sabara,1,2
"nominated 1 golden globe, another 5 win & 27 nomination",199.0,Actor,"Matthew Perry
(I)",28,5
4 win & 4 nomination,116.0,Actor,"Adam Brody
(I)",4,4
"nominated 1 primetime emmy, another 5 win & 7 nomination",160.0,Actress,Natasha Lyonne,8,5
15 win & 12 nomination,79.0,Actor,Matthias Schoenaerts,12,15
2 win & 3 nomination,108.0,Actor,"Dennis Farina
(1944–2013)",3,2
8 win & 11 nomination,97.0,Actress,Ludivine Sagnier,11,8
1 nomination,87.0,Actress,Nancy Travis,1,0
"nominated 1 golden globe, another 7 win & 15 nomination",98.0,Actor,Barry Pepper,16,7
7 win & 17 nomination,142.0,Actor,Jon Heder,17,7
2 win & 4 nomination,89.0,Actor,"Chris Klein
(I)",4,2
1 win & 7 nomination,58.0,Actress,Shannyn Sossamon,7,1
1 nomination,44.0,Actress,Haley Bennett,1,0
7 win & 9 nomination,108.0,Actor,Larenz Tate,9,7
"nominated 2 golden globes, another 9 win & 7 nomination",336.0,Actor,"Chevy Chase
(I)",9,9
"won 1 golden globe, another 14 win & 25 nomination",140.0,Actor,"Anthony Edwards
(I)",25,15
15 win & 33 nomination,137.0,Actor,David Wenham,33,15
3 nomination,89.0,Actor,Justin Bartha,3,0
2 win & 2 nomination,73.0,Actress,"Laura Fraser
(II)",2,2
7 win & 21 nomination,191.0,Actor,Taye Diggs,21,7
"nominated 1 oscar, another 2 win & 5 nomination",222.0,Actor,Ned Beatty,6,2
8 win & 21 nomination,106.0,Actress,Blake Lively,21,8
17 win & 15 nomination,313.0,Actress,"Sridevi
(I)
(1963–2018)",15,17
1 nomination,86.0,Actor,"Dylan Walsh
(I)",1,0
"nominated 2 oscars, another 10 win & 14 nomination",190.0,Actor,"Richard Harris
(I)
(1930–2002)",16,10
9 win & 9 nomination,60.0,Actor,"Ajith Kumar
(II)",9,9
"won 2 oscars, another 50 win & 54 nomination",393.0,Actor,"Jack Lemmon
(1925–2001)",54,52
3 win & 6 nomination,155.0,Actress,"Rose McGowan
(I)",6,3
"nominated 1 primetime emmy, another 4 win & 10 nomination",154.0,Actor,Clifton Collins Jr.,11,4
14 win & 8 nomination,88.0,Actor,Nawazuddin Siddiqui,8,14
"won 2 oscars, another 32 win & 27 nomination",89.0,Actress,Dianne Wiest,27,34
7 win & 18 nomination,31.0,Actress,Anushka Sharma,18,7
"nominated 1 oscar, another 8 win & 7 nomination",98.0,Actress,Joan Plowright,8,8
"nominated 1 oscar, another 7 win & 19 nomination",219.0,Actress,Rosie Perez,20,7
1 nomination,75.0,Actress,"Man Cheung
(IV)",1,0
4 win & 5 nomination,203.0,Actor,"Mike Epps
(I)",5,4
"nominated 1 primetime emmy, another 17 nomination",134.0,Actor,Nikolaj Coster-Waldau,18,0
7 win & 3 nomination,205.0,Actor,"William Sadler
(I)",3,7
"nominated 2 oscars, another 24 win & 23 nomination",235.0,Actor,"Max von Sydow
(I)",25,24
4 win & 1 nomination,320.0,Actor,Udo Kier,1,4
"nominated 2 golden globes, another 15 win & 51 nomination",237.0,Actor,"Ray Romano
(I)",53,15
"won 1 oscar, another 11 win & 15 nomination",253.0,Actor,"Walter Matthau
(1920–2000)",15,12
1 nomination,65.0,Actress,Rosamund Kwan,1,0
4 win & 4 nomination,133.0,Actor,Tobin Bell,4,4
"won 1 primetime emmy, another 1 win & 7 nomination",96.0,Actor,"Powers Boothe
(1948–2017)",7,2
none,76.0,Actress,Meenakshi Sheshadri,0,0
12 win & 2 nomination,181.0,Actress,Bai Ling,2,12
3 win & 4 nomination,131.0,Actress,Gillian Jacobs,4,3
"nominated 6 golden globes, another 4 win & 13 nomination",302.0,Actor,"Rob Lowe
(I)",19,4
"won 3 primetime emmys, another 3 win & 15 nomination",406.0,Actor,"Keith David
(I)",15,6
4 win & 2 nomination,136.0,Actor,Johnathon Schaech,2,4
5 win & 15 nomination,85.0,Actress,Bipasha Basu,15,5
"won 1 primetime emmy, another 3 win & 10 nomination",234.0,Actor,Joe Pantoliano,10,4
3 win & 5 nomination,39.0,Actress,Maika Monroe,5,3
4 win & 12 nomination,131.0,Actress,Ally Sheedy,12,4
19 win & 26 nomination,91.0,Actress,Mélanie Laurent,26,19
"won 1 primetime emmy, another 3 win & 5 nomination",136.0,Actor,Gil Bellows,5,4
"won 6 primetime emmys, another 11 win & 30 nomination",242.0,Actor,Hank Azaria,30,17
"nominated 2 golden globes, another 5 win & 12 nomination",135.0,Producer,Bonnie Hunt,14,5
3 nomination,94.0,Actor,Robert John Burke,3,0
2 win & 3 nomination,46.0,Actor,"Xavier Samuel
(I)",3,2
3 win & 7 nomination,113.0,Actor,Louis Koo,7,3
3 win & 9 nomination,39.0,Actor,Max Minghella,9,3
"nominated 2 primetime emmys, another 3 win & 19 nomination",178.0,Actor,"David Schwimmer
(I)",21,3
1 win & 1 nomination,545.0,Actor,Hulk Hogan,1,1
2 win,91.0,Actress,"Theresa Russell
(I)",0,2
"nominated 1 golden globe, another 6 win & 35 nomination",112.0,Actor,"Matthew Fox
(I)",36,6
2 win & 1 nomination,82.0,Actress,Erika Eleniak,1,2
none,118.0,Actress,Jacqueline Lovell,0,0
5 win & 13 nomination,89.0,Actress,"Olivia Williams
(I)",13,5
1 win & 2 nomination,85.0,Actress,Joanne Whalley,2,1
"won 1 oscar, another 21 win & 40 nomination",151.0,Actor,Jean Dujardin,40,22
"won 1 golden globe, another 20 win & 35 nomination",318.0,Actor,Jeffrey Tambor,35,21
"won 1 oscar, another 28 win & 23 nomination",311.0,Actor,"Martin Landau
(1928–2017)",23,29
"won 1 oscar, another 32 win & 65 nomination",237.0,Actress,Octavia Spencer,65,33
1 win & 5 nomination,97.0,Actor,"Luke Evans
(I)",5,1
7 win & 4 nomination,52.0,Actor,Lou Taylor Pucci,4,7
2 win & 2 nomination,109.0,Actor,Jesse Metcalfe,2,2
"nominated 1 golden globe, another 3 win & 6 nomination",147.0,Actress,Molly Ringwald,7,3
none,77.0,Actor,"Michael Dudikoff
(I)",0,0
"won 1 primetime emmy, another 2 win & 4 nomination",88.0,Actor,Rick Moranis,4,3
1 win & 1 nomination,79.0,Actor,"Cem Yilmaz
(I)",1,1
"won 1 oscar, another 8 win & 11 nomination",185.0,Actor,F. Murray Abraham,11,9
6 win & 6 nomination,113.0,Actor,Benno Fürmann,6,6
3 win & 2 nomination,211.0,Actor,Vinnie Jones,2,3
3 win & 1 nomination,73.0,Actor,Skeet Ulrich,1,3
"nominated 1 oscar, another 11 win & 14 nomination",138.0,Actor,"Alan Bates
(I)
(1934–2003)",15,11
"nominated 2 golden globes, another 5 win & 16 nomination",55.0,Actress,Romola Garai,18,5
2 win & 1 nomination,70.0,Actor,Kip Pardue,1,2
"nominated 4 primetime emmys, another 7 win & 17 nomination",262.0,Actor,"Dave Foley
(I)",21,7
2 win & 8 nomination,37.0,Actress,"Olivia Cooke
(II)",8,2
2 nomination,84.0,Actress,"Christine Taylor
(I)",2,0
8 win & 24 nomination,74.0,Actress,Rosemarie DeWitt,24,8
6 win & 11 nomination,184.0,Actor,Colm Feore,11,6
6 win & 16 nomination,192.0,Actress,Lacey Chabert,16,6
"nominated 2 golden globes, another 7 win & 8 nomination",199.0,Actress,Dana Delany,10,7
3 win & 1 nomination,119.0,Actress,Kushboo,1,3
11 win & 12 nomination,100.0,Actress,"Shirley Henderson
(I)",12,11
"nominated 1 oscar, another 29 win & 65 nomination",217.0,Actress,Taraji P. Henson,66,29
3 nomination,58.0,Actor,Jason Scott Lee,3,0
"nominated 1 golden globe, another 6 win & 19 nomination",180.0,Actress,Pam Grier,20,6
3 win & 5 nomination,77.0,Actress,Kristanna Loken,5,3
"nominated 1 golden globe, another 4 win & 5 nomination",71.0,Actress,"Lily Collins
(I)",6,4
1 nomination,61.0,Actress,Rhona Mitra,1,0
"nominated 1 oscar, another 4 nomination",146.0,Actor,"Chris Sarandon
(I)",5,0
19 win & 31 nomination,115.0,Actor,Taylor Lautner,31,19
"nominated 1 oscar, another 3 win & 7 nomination",130.0,Actress,Kathleen Quinlan,8,3
27 win & 18 nomination,74.0,Actor,Toni Servillo,18,27
5 win & 9 nomination,48.0,Actress,Ameesha Patel,9,5
1 win & 4 nomination,61.0,Actor,Devon Sawa,4,1
12 nomination,111.0,Actress,Jordana Brewster,12,0
7 win & 2 nomination,186.0,Actor,"Nick Mancuso
(I)",2,7
"nominated 1 golden globe, another 2 win & 5 nomination",76.0,Actor,Scott Caan,6,2
3 win & 2 nomination,90.0,Actress,Lori Petty,2,3
4 win & 15 nomination,125.0,Actor,"Liam Cunningham
(I)",15,4
4 nomination,111.0,Actress,"Mary McCormack
(I)",4,0
2 win & 2 nomination,189.0,Actor,"James Russo
(I)",2,2
"nominated 3 primetime emmys, another 2 win & 9 nomination",70.0,Actress,"Gaby Hoffmann
(I)",12,2
2 win & 3 nomination,143.0,Actor,"Timothy Dalton
(I)",3,2
"nominated 1 golden globe, another 1 win & 2 nomination",59.0,Actress,"Polly Walker
(II)",3,1
1 win & 7 nomination,138.0,Actor,"David Bradley
(IV)",7,1
3 win & 7 nomination,196.0,Actor,"Esai Morales
(I)",7,3
"won 1 oscar, another 14 win & 38 nomination",184.0,Actress,"Anne Bancroft
(I)
(1931–2005)",38,15
1 win & 4 nomination,112.0,Actress,Jaime King,4,1
1 win,70.0,Actress,"Nagma
(I)",0,1
4 win & 6 nomination,71.0,Actor,"Shane West
(I)",6,4
"nominated 1 golden globe, another 3 win & 2 nomination",297.0,Actor,"Dom DeLuise
(1933–2009)",3,3
7 win & 5 nomination,179.0,Actor,Josh Gad,5,7
10 win & 16 nomination,149.0,Actor,Guillaume Canet,16,10
2 win & 4 nomination,196.0,Actor,"John Cho
(I)",4,2
"nominated 1 primetime emmy, another 5 win & 5 nomination",158.0,Actor,"Tim Daly
(I)",6,5
"won 1 primetime emmy, another 4 win & 25 nomination",255.0,Actor,Bill Hader,25,5
"nominated 1 oscar, another 4 win & 12 nomination",156.0,Actor,"Pete Postlethwaite
(1946–2011)",13,4
1 win & 1 nomination,58.0,Actor,Ron Eldard,1,1
"nominated 1 oscar, another 1 win & 6 nomination",56.0,Actress,Mary Elizabeth Mastrantonio,7,1
2 win & 5 nomination,112.0,Actor,"Josh Peck
(I)",5,2
3 win & 2 nomination,234.0,Actor,Dave Bautista,2,3
3 win & 7 nomination,67.0,Actor,Theo James,7,3
1 win & 2 nomination,74.0,Actor,Jason Momoa,2,1
5 win & 1 nomination,156.0,Actor,Jürgen Prochnow,1,5
"nominated 1 golden globe, another 3 win & 11 nomination",112.0,Actor,Danny Huston,12,3
1 win & 1 nomination,75.0,Actor,Cole Hauser,1,1
"won 1 primetime emmy, another 1 win & 7 nomination",181.0,Actress,Mary Kay Place,7,2
2 win & 8 nomination,113.0,Actress,Sara Paxton,8,2
27 win & 29 nomination,306.0,Actor,"David Tennant
(I)",29,27
